Verb,preposition,sens,example
اتى,,حان-قرب-دنا,اتى الامر
اتى,,جاء-حضر-اقبل,اتى الشخص
اتى,من,جاء-وصل,اتى من المدينة
اتى,من,اصيب,اتى من جهة كذا
اتى,ب,أقام-جاء-حضر-وصل,أتى بالمكان
اتى,على,مر ,أتى عليه
اتى,على,افنى,أتى عليه الدهر
اتى,ل,تسهل,تأتى له الامر
اتى,ل,تعرض,تأتى لمعروفه
اتى,ل,ترفق,تأتى للامر 
اتى,الى,جاء,أتيت اليه
اتى,الى,ساق,آتي اليه الشيء
اخذ,,نهج-سلك-سار,اخذ سيرته الأولى
اخذ,,اسر,اخذ الاسرى غنيمة حرب
اخذ,,سجن-حبس,اخذ المجرم الى السجن
اخذ,,استحم,اخذ حماما
اخذ,ب,سلب - فتن-ابهر-جذب,اخذ بعقول السامعين
اخذ,ب,عاقب,اخذه بذنبه
اخذ,ب,التزم,اخذ برأي صديقه
اخذ,ب,عامل برفق و لين,اخذه بالحسنى
اخذ,ب,اهتم ,اخذ بعين الاعتبار
اخذ,في,بدا,اخذ في الضحك
اخذ,على,منع الفعل,اخذ على يده 
اخذ,على,منع الكلام,اخذ على فمه
اخذ,على,عد,اخذ عليه كذا
اخذ,على,فاجا,اخذه على حين غرة
اخذ,على,تولى,اخذ على عاتقه
اخذ,عن,تلقى العلم,اخذ عن فلان
بنى,,برهن,بنى النظرية
بنى,,شيد,بنى منزلا
بنى,على,صمم,بنى الامر على
بنى,ب,دخل ,بنى بزوجته
بنى,على,دخل ,بنى على زوجته
بنى,على,اعتمد-استند,بنى على كلامه
تاب,,ندم,تاب المذنب 
تاب,الى,رجع,تاب المذنب الى الله
تاب,على,غفر -قبل,تاب الله عليه
تاه,,ضل,تاه الشخص
تاه,من,هلك,تاه من العطش في الصحراء
تاه,الى,تشوق,تاه الى الشيء
تاه,في,ضل,تاه في الأرض
ثبت,,تاكد,ثبت الخبر
ثبت,على,داوم-واضب,ثبت على الامر
ثبت,على,تمسك,ثبت على رأيه
ثبت,في,اقام - استقر,ثبت في المكان
ثبت,في,انفذ,أثبت الرمح فيه
ثبت,في,تأنى,تثبت في الامر
ثبت,ب,شد,اثبته بالوثاق
جزع,من,خاف,جزع من  عتاب ابيه
جزع,ب,اكتفى ,جزع بكذا
جزع,ل,قطع,جزع له من ماله
جزع,من,حزن,جزع منه
جزع,على,اشفق,جزع عليه
جزى,على,عاقب,جزاه على سوء صنيعه
جزى,ب,كافا,جزى الرجل بكذا 
جزى,عن,قضى,جزى عنه الامر
جزى,عن,اغنى,أجزى هذا عن هذا
اجاب,,لبى,أجاب دعوة الداعي
اجاب,,انبت,اجابت الأرض
اجاب,على,رد ,أجاب على سؤاله
اجاب,الى,ارتاح ,اجابه الى حاجته
قام,,نهض,قام الشخص
قام,الى,تهيا-استعد,قام الى الصلاة
قام,ل,تولى,قام للامر
قام,ل,اخذ-شرع,قام يخطط لمشروعه
قام,من,استيقظ,قام من نومه
قام,ب,اضطلع ,قام بمهامه
قام,ب,اطاق,قام بالامر 
قام,على,اصلح ,قام على اهله
قام,على,طالب,قام على غريمه
ذهب,ب,استصحب,ذهب به
ذهب,من,راح-مر,ذهب من داراه الى المسجد
ذهب,في,راى ,ذهب في الدين مذهبا
ذهب,على,نسي,ذهب علي كذا
ذهب,الى,اخذ,ذهب فلان الى قول العالم
ذهب,في,ظل,ذهب الرجل في القوم
رتب,,ثبت-استقر,رتب الامر
رتب,في,انتصب ,رتب في الصلاة
رتب,,انتصب,رتب فلان
رتب,على,اقام ,رتب على كذا
رد,عن,صرف,رده عن حاجته
رد,على,لم يقبل,رد عليه القول 
رد,الى,ارجع,رد اليه جوابا
رد,على,ينفع,ما يرد عليك هذا
رد,ب,اختار,رضي به رضا
رضي,على,قنع ,رضي عليه 
رضي,ل,اختار,رضيه لامر
رضي,عن,قبل,رضي الله عن فلان
رضي,ل,حفظ,رعى له عهده و حرمته
رعى,على,يرعى الغنم,فلان يرعى على ابيه
رعى,,اكل,رعى الحيوان النباات
رغب,عن,اعرض-زهد,رغب عن الشيء
رغب,الى,ابتهل,رغب الى الله
رغب, عن,كره,رغب به عنه 
رغب,عن,ترفع,رغب بنفسه عنه
اسف,ل,تالم-ندم,اسف له
اسف,ل,حزن-ندم,اسف لرسوبه
اسف,على,غضب,اسف عليه
اوى,الى,جاء-سكن,اوى الى البيت
اوى,ل,رحم,اوى لنفسه
اوى,الى,ضم,اواه اليه 
اوى,عن,ترك,اوى عن المنكر
اوى,الى,ذهب,اوى الى غرفة نومه
بحث,عن,استقصى,بحث عن الامر
بحث,في,حفر ,بحث في الأرض
بحث,عن,فتش-سال,بحث عنه
بحث,,اجتهد,بحث الامر
برح,من,زال,برح من المكان
برح,ب,اتعب-اجهد,برح به الامر
برح,ب,اعجب-بالغ,ابرح به
برح,عن,كشف,برح الله عنه
برح,,غضب,برح فلان
بسط,على,فضل,بسط فلان عليه
بسط,على,تسلط,بسط فلان علي يده
بسط,في,جاوز-اعطى,بسط يده في الرزق
بسط,,عرض,بسط الأمور امامه
