verb,synonym,example
اتى,حان-قرب-دنا,اتى الامر
اتى,جاء-حضر-اقبل,اتى الشخص
اتى,جاء-وصل,اتى من المدينة
اتى,اصيب,اتى من جهة كذا
اتى,اقام-جاء-حضر-وصل,أتى بالمكان
اتى,مر ,أتى عليه
اتى,افنى,أتى عليه الدهر
اتى,تسهل,تأتى له الامر
اتى,تعرض,تأتى لمعروفه
اتى,ترفق,تأتى للامر 
اتى,جاء,أتيت اليه
اتى,ساق,آتي اليه الشيء
اخذ,نهج-سلك-سار,اخذ سيرته الأولى
اخذ,اسر,اخذ الاسرى غنيمة حرب
اخذ,سجن-حبس,اخذ المجرم الى السجن
اخذ,استحم,اخذ حماما
اخذ,سلب - فتن-ابهر-جذب,اخذ بعقول السامعين
اخذ,عاقب,اخذه بذنبه
اخذ,التزم,اخذ برأي صديقه
اخذ,عامل برفق و لين,اخذه بالحسنى
اخذ,اهتم ,اخذ بعين الاعتبار
اخذ,بدا,اخذ في الضحك
اخذ,منع الفعل,اخذ على يده 
اخذ,منع الكلام,اخذ على فمه
اخذ,عد,اخذ عليه كذا
اخذ,فاجا,اخذه على حين غرة
اخذ,تولى,اخذ على عاتقه
اخذ,تلقى العلم,اخذ عن فلان
بنى,برهن,بنى النظرية
بنى,شيد,بنى منزلا
بنى,صمم,بنى الامر على
بنى,دخل ,بنى بزوجته
بنى,دخل ,بنى على زوجته
بنى,اعتمد-استند,بنى على كلامه
تاب,ندم,تاب المذنب 
تاب,رجع,تاب المذنب الى الله
تاب,غفر -قبل,تاب الله عليه
تاه,ضل,تاه الشخص
تاه,هلك,تاه من العطش في الصحراء
تاه,تشوق,تاه الى الشيء
تاه,ضل,تاه في الأرض
ثبت,تاكد,ثبت الخبر
ثبت,داوم-واضب,ثبت على الامر
ثبت,تمسك,ثبت على رأيه
ثبت,اقام - استقر,ثبت في المكان
ثبت,انفذ,أثبت الرمح فيه
ثبت,تأنى,تثبت في الامر
ثبت,شد,اثبته بالوثاق
جزع,خاف,جزع من  عتاب ابيه
جزع,اكتفى ,جزع بكذا
جزع,قطع,جزع له من ماله
جزع,حزن,جزع منه
جزع,اشفق,جزع عليه
جزى,عاقب,جزاه على سوء صنيعه
جزى,كافا,جزى الرجل بكذا 
جزى,قضى,جزى عنه الامر
جزى,اغنى,أجزى هذا عن هذا
اجاب,لبى,أجاب دعوة الداعي
اجاب,انبت,اجابت الأرض
اجاب,رد ,أجاب على سؤاله
اجاب,ارتاح ,اجابه الى حاجته
قام,نهض,قام الشخص
قام,تهيا-استعد,قام الى الصلاة
قام,تولى,قام للامر
قام,اخذ-شرع,قام يخطط لمشروعه
قام,استيقظ,قام من نومه
قام,اضطلع ,قام بمهامه
قام,اطاق,قام بالامر 
قام,اصلح ,قام على اهله
قام,طالب,قام على غريمه
ذهب,استصحب,ذهب به
ذهب,راح-مر,ذهب من داراه الى المسجد
ذهب,راى ,ذهب في الدين مذهبا
ذهب,نسي,ذهب علي كذا
ذهب,اخذ,ذهب فلان الى قول العالم
ذهب,ظل,ذهب الرجل في القوم
رتب,ثبت-استقر,رتب الامر
رتب,انتصب ,رتب في الصلاة
رتب,انتصب,رتب فلان
رتب,اقام ,رتب على كذا
رد,صرف,رده عن حاجته
رد,لم يقبل,رد عليه القول 
رد,ارجع,رد اليه جوابا
رد,ينفع,ما يرد عليك هذا
رد,اختار,رضي به رضا
رضي,قنع ,رضي عليه 
رضي,اختار,رضيه لامر
رضي,قبل,رضي الله عن فلان
رضي,حفظ,رعى له عهده و حرمته
رعى,يرعى الغنم,فلان يرعى على ابيه
رعى,اكل,رعى الحيوان النباات
رغب,اعرض-زهد,رغب عن الشيء
رغب,ابتهل,رغب الى الله
رغب,كره,رغب به عنه 
رغب,ترفع,رغب بنفسه عنه
اسف,تالم-ندم,اسف له
اسف,حزن-ندم,اسف لرسوبه
اسف,غضب,اسف عليه
اوى,جاء-سكن,اوى الى البيت
اوى,رحم,اوى لنفسه
اوى,ضم,اواه اليه 
اوى,ترك,اوى عن المنكر
اوى,ذهب,اوى الى غرفة نومه
بحث,استقصى,بحث عن الامر
بحث,حفر ,بحث في الأرض
بحث,فتش-سال,بحث عنه
بحث,اجتهد,بحث الامر
برح,زال,برح من المكان
برح,اتعب-اجهد,برح به الامر
برح,اعجب-بالغ,ابرح به
برح,كشف,برح الله عنه
برح,غضب,برح فلان
بسط,فضل,بسط فلان عليه
بسط,تسلط,بسط فلان علي يده
بسط,جاوز-اعطى,بسط يده في الرزق
بسط,عرض,بسط الأمور امامه
بسط,قدم,بسط العذر 
بسط,اسهب,بسط القول 
بسط,فرش,بسط يده
بسط,رحم-عطف-رفق,بسط عليه جناح الرحمة
بسط,سيطر,بسط نفوذه على القرية
بسط,ساهد-اعان,بسط له يد المساعدة
بطش,فتك,بطش به
بطش,سطى-انقض,بطش عليه
بطش,افاق,بطش فلان من الحمى
بطش,تبحر,بطش في العلم
بعث,احيا,بعث الله الخلق
بعث, ارسل بمفرده,بعثه
بعث,ارسل معه,بعث به
بعث,حمل,بعثه على الشيء
